"Year","species","AbdOADiff","Model"
2095,690003,-1.45971102395313,"G"
2095,690005,-0.957035661964582,"G"
2095,690009,-8.6422000864583,"G"
2095,690010,-0.919518598587477,"G"
2095,690011,-2.38096849880363,"G"
2095,690013,-0.377696027495309,"G"
2095,690016,-5.26378203732369,"G"
2095,690018,-6.068560446518,"G"
2095,690022,-1.3115405132886,"G"
2095,690023,-2.75339361373733,"G"
2095,690024,-4.78291292888214,"G"
2095,690029,-4.51508978875492,"G"
2095,690030,-24.6205396761071,"G"
2095,690031,-2.1566045402883,"G"
2095,690032,-1.19376917785209,"G"
2095,690033,-6.73327963618915,"G"
2095,690036,-3.44576316346445,"G"
2095,690039,-0.891113615755862,"G"
2095,690042,-0.64572058098585,"G"
2095,690043,-0.0460939618631171,"G"
2095,690047,-3.95021290433481,"G"
2095,690049,-1.31458419756782,"G"
2095,690050,-0.267273325279282,"G"
2095,690051,-0.00758589571546509,"G"
2095,690052,-0.706754959997814,"G"
2095,690053,-0.144308500233283,"G"
2095,690054,-1.15966801781919,"G"
2095,690055,-2.23235132291165,"G"
2095,690059,-1.12393547683352,"G"
2095,690060,-13.8653782709948,"G"
2095,690064,-13.376467160434,"G"
2095,690065,-0.329612942729177,"G"
2095,690067,-0.939864552693951,"G"
2095,690069,-0.254373375750696,"G"
2095,690070,-5.91144361447366,"G"
2095,690071,-0.729442794485069,"G"
2095,690075,-1.57666294720185,"G"
2095,690076,-2.0825510801205,"G"
2095,690077,5.64280032873121e-05,"G"
2095,690078,-7.81106188419648,"G"
2095,690081,-2.10856886806128,"G"
2095,690082,-0.226479310386267,"G"
2095,690085,-1.28938898399904,"G"
2095,690087,-9.03385957504934,"G"
2095,690088,-1.43171234123354,"G"
2095,690089,-0.437720843097622,"G"
2095,690090,-2.97079591893782,"G"
2095,690091,-15.6338780729464,"G"
2095,690092,-1.44954531824717,"G"
2095,690100,-1.63919822318084,"G"
2095,690105,-0.315921941181159,"G"
2095,690109,-0.106385714368362,"G"
2095,690115,-2.28360416409404,"G"
2095,690119,-1.47779107105254,"G"
2095,690120,-0.91401952384188,"G"
2095,690122,-6.89259341788929,"G"
2095,690123,-3.2446717455459,"G"
2095,690124,-2.36771509945549,"G"
2095,690125,-0.972660530280944,"G"
2095,690126,-6.24984188648499,"G"
2095,690127,-2.54268840793565,"G"
2095,690133,-0.995308951484784,"G"
2095,690143,-1.21329933914429,"G"
2095,690146,-1.22012332373988,"G"
2095,690151,-1.38709247581076,"G"
2095,690156,-1.43258480922033,"G"
2095,690157,-7.60035554945472,"G"
2095,690158,-0.0654517714145104,"G"
2095,690161,-0.93691917022461,"G"
2095,690163,-1.23830473976998,"G"
2095,690166,8.08676896460626,"G"
2095,690168,-1.36609560817483,"G"
2095,690169,15.2724050561019,"G"
2095,690176,-0.139588512284755,"G"
2095,690180,38.8577087878903,"G"
2095,690185,-1.8514924327335,"G"
2095,690189,NA,"G"
2095,690190,-1.61031436816654,"G"
2095,690194,NA,"G"
2095,690196,5.99327594188651,"G"
2095,690198,-5.53213341271703,"G"
2095,690199,-0.280997194820313,"G"
2095,690201,-2.30311783308452,"G"
2095,690203,-3.33278631236598,"G"
2095,690205,-0.324280089669319,"G"
2095,690206,-0.976100908242781,"G"
